Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,5.66794490814209,5.7545599937438965,5.634294033050537,5.718677997589111,5.718677997589111,104107817
2023-05-03,5.718493938446045,5.806150913238525,5.57041597366333,5.778507232666016,5.778507232666016,124693271
2023-05-04,5.779534816741943,5.797880172729492,5.631793022155762,5.669313907623291,5.669313907623291,96457571
2023-05-05,5.6695661544799805,5.8958740234375,5.668396949768066,5.853751182556152,5.853751182556152,134145378
2023-05-06,5.853590965270996,5.894886016845703,5.619234085083008,5.653782844543457,5.653782844543457,117757503
2023-05-07,5.65313196182251,5.703423023223877,5.624429225921631,5.641276836395264,5.641276836395264,82065322
2023-05-08,5.639027118682861,5.650324821472168,5.227634906768799,5.3758931159973145,5.3758931159973145,183507351
2023-05-09,5.375854969024658,5.403285026550293,5.302740097045898,5.328574180603027,5.328574180603027,111609334
2023-05-10,5.328268051147461,5.511980056762695,5.270139217376709,5.470531940460205,5.470531940460205,170149217
2023-05-11,5.470270156860352,5.470270156860352,5.1975321769714355,5.285426139831543,5.285426139831543,133681821
2023-05-12,5.285464763641357,5.349149227142334,5.160696029663086,5.345987796783447,5.345987796783447,128052830
2023-05-13,5.346107006072998,5.388090133666992,5.32323694229126,5.351903915405273,5.351903915405273,83347439
2023-05-14,5.351844787597656,5.439047813415527,5.323538780212402,5.354409217834473,5.354409217834473,80152673
2023-05-15,5.354269027709961,5.4272871017456055,5.285286903381348,5.320285797119141,5.320285797119141,107494871
2023-05-16,5.320494174957275,5.333457946777344,5.2469329833984375,5.299292087554932,5.299292087554932,97178715
2023-05-17,5.299126148223877,5.43195915222168,5.238080024719238,5.413900852203369,5.413900852203369,114115077
2023-05-18,5.413920879364014,5.461698055267334,5.259048938751221,5.341458797454834,5.341458797454834,116698596
2023-05-19,5.341423034667969,5.385831832885742,5.329813003540039,5.370038986206055,5.370038986206055,98607672
2023-05-20,5.370104789733887,5.445813179016113,5.341625213623047,5.414481163024902,5.414481163024902,83602754
2023-05-21,5.414168834686279,5.430837154388428,5.2618727684021,5.273439884185791,5.273439884185791,84108758
2023-05-22,5.27311897277832,5.334197044372559,5.240392208099365,5.31261682510376,5.31261682510376,90637667
2023-05-23,5.312992095947266,5.44232702255249,5.3012189865112305,5.400730133056641,5.400730133056641,91170740
2023-05-24,5.400869846343994,5.402216911315918,5.203413963317871,5.260034084320068,5.260034084320068,105438307
2023-05-25,5.259590148925781,5.290487766265869,5.167324066162109,5.2444047927856445,5.2444047927856445,104241281
2023-05-26,5.244437217712402,5.269233226776123,5.199319839477539,5.24843692779541,5.24843692779541,92187777
2023-05-27,5.2480788230896,5.370300769805908,5.237842082977295,5.337991237640381,5.337991237640381,85933928
2023-05-28,5.337577819824219,5.557138919830322,5.323190212249756,5.508674144744873,5.508674144744873,93503432
2023-05-29,5.50884485244751,5.532398223876953,5.431161880493164,5.460805892944336,5.460805892944336,97804783
2023-05-30,5.460937976837158,5.527162075042725,5.424760818481445,5.4438018798828125,5.4438018798828125,101319207
2023-05-31,5.4441938400268555,5.460066795349121,5.277181148529053,5.317827224731445,5.317827224731445,109985965
2023-06-01,5.317673206329346,5.333052158355713,5.203869819641113,5.210669994354248,5.210669994354248,106143989
2023-06-02,5.210442066192627,5.2973527908325195,5.17852783203125,5.2798848152160645,5.2798848152160645,115192777
2023-06-03,5.280088901519775,5.330341815948486,5.253009796142578,5.330341815948486,5.330341815948486,72829815
2023-06-04,5.331198215484619,5.378437042236328,5.317245006561279,5.319441795349121,5.319441795349121,89142937
2023-06-05,5.319040775299072,5.319413185119629,4.943347930908203,5.073203086853027,5.073203086853027,174078984
2023-06-06,5.072847843170166,5.260870933532715,5.000308990478516,5.208306789398193,5.208306789398193,121110990
2023-06-07,5.208156108856201,5.208343029022217,4.991734027862549,5.022200107574463,5.022200107574463,119172236
2023-06-08,5.02252721786499,5.05515193939209,4.989095211029053,5.02603816986084,5.02603816986084,99375553
2023-06-09,5.026209831237793,5.067060947418213,4.942057132720947,4.982104778289795,4.982104778289795,91799916
2023-06-10,4.982219219207764,4.983325004577637,4.247436046600342,4.526294231414795,4.526294231414795,301787813
2023-06-11,4.526132106781006,4.547544956207275,4.439938068389893,4.521618843078613,4.521618843078613,113632369
2023-06-12,4.521308898925781,4.548452854156494,4.450337886810303,4.532445907592773,4.532445907592773,113772804
2023-06-13,4.532517910003662,4.695993900299072,4.507047176361084,4.622073173522949,4.622073173522949,115909247
2023-06-14,4.622070789337158,4.792686939239502,4.534450054168701,4.569849967956543,4.569849967956543,130135248
2023-06-15,4.569944858551025,4.612410068511963,4.283473968505859,4.37718391418457,4.37718391418457,191717237
2023-06-16,4.377058982849121,4.453419208526611,4.297904014587402,4.416847229003906,4.416847229003906,108807587
2023-06-17,4.41698694229126,4.559694766998291,4.400117874145508,4.5261311531066895,4.5261311531066895,94181697
2023-06-18,4.525901794433594,4.661500930786133,4.489461898803711,4.530962944030762,4.530962944030762,97195546
2023-06-19,4.531147003173828,4.581550121307373,4.449982166290283,4.522421836853027,4.522421836853027,94392197
2023-06-20,4.52275276184082,4.673692226409912,4.379486083984375,4.668923854827881,4.668923854827881,120595261
2023-06-21,4.668569087982178,4.852588176727295,4.643673896789551,4.829425811767578,4.829425811767578,156905291
2023-06-22,4.828271865844727,4.969237804412842,4.779750823974609,4.830627918243408,4.830627918243408,145580309
2023-06-23,4.830537796020508,5.134511947631836,4.828192234039307,5.100214958190918,5.100214958190918,164328402
2023-06-24,5.100292205810547,5.132453918457031,4.950829029083252,5.007446765899658,5.007446765899658,118793919
2023-06-25,5.007743835449219,5.238464832305908,5.007743835449219,5.194805145263672,5.194805145263672,152201774
