Date,Open,High,Low,Close,Adj Close,Volume
2023-07-28,29207.830078125,29487.080078125,29159.951171875,29326.712890625,29326.712890625,113653189
2023-07-29,29326.6171875,29385.994140625,29297.59765625,29367.193359375,29367.193359375,149940599
2023-07-30,29366.646484375,29420.439453125,29117.33984375,29246.833984375,29246.833984375,103354272
2023-07-31,29246.958984375,29447.05859375,29170.931640625,29207.708984375,29207.708984375,167671718
2023-08-01,29206.9765625,29604.01953125,28740.908203125,29604.01953125,29604.01953125,209965838
2023-08-02,29618.404296875,29915.96875,29007.826171875,29149.30078125,29149.30078125,144304251
2023-08-03,29151.00390625,29324.01171875,28997.02734375,29183.625,29183.625,68361958
2023-08-04,29183.875,29255.90234375,28909.705078125,29046.82421875,29046.82421875,97487618
2023-08-05,29047.845703125,29077.814453125,28976.966796875,29055.189453125,29055.189453125,79315028
2023-08-06,29055.2421875,29123.5625,28975.072265625,29038.19140625,29038.19140625,82296151
2023-08-07,29038.2265625,29171.84375,28731.341796875,29143.140625,29143.140625,110936555
2023-08-08,29143.318359375,30061.328125,29115.58203125,29760.39453125,29760.39453125,169358616
2023-08-09,29761.9921875,30021.412109375,29429.126953125,29571.115234375,29571.115234375,181946733
2023-08-10,29569.75390625,29657.46875,29386.47265625,29439.412109375,29439.412109375,103597815
2023-08-11,29439.380859375,29500.748046875,29323.97265625,29405.541015625,29405.541015625,108113369
2023-08-12,29405.552734375,29456.458984375,29381.345703125,29415.517578125,29415.517578125,67565339
2023-08-13,29415.6953125,29442.78515625,29284.767578125,29296.84765625,29296.84765625,78322636
2023-08-14,29297.796875,29602.94140625,29175.20703125,29421.705078125,29421.705078125,138994854
2023-08-15,29418.556640625,29425.33984375,29124.78515625,29158.39453125,29158.39453125,97937118
2023-08-16,29158.634765625,29192.041015625,28746.40234375,28746.40234375,28746.40234375,84760380
2023-08-17,28746.810546875,28746.810546875,25773.927734375,26641.912109375,26641.912109375,315311237
2023-08-18,26648.109375,26786.927734375,25766.255859375,26078.212890625,26078.212890625,193826637
2023-08-19,26078.525390625,26275.8671875,25864.658203125,26115.958984375,26115.958984375,68500257
2023-08-20,26115.947265625,26272.513671875,26085.869140625,26225.1484375,26225.1484375,80337078
2023-08-21,26226.53125,26227.65234375,25899.765625,26153.279296875,26153.279296875,77924218
2023-08-22,26152.322265625,26155.28515625,25548.703125,25996.3984375,25996.3984375,142813504
2023-08-23,25998.0859375,26743.904296875,25847.337890625,26466.228515625,26466.228515625,136660079
2023-08-24,26466.060546875,26527.92578125,25995.3984375,26142.4765625,26142.4765625,101681997
2023-08-25,26147.33984375,26199.240234375,25850.06640625,26053.603515625,26053.603515625,76364182
2023-08-26,26053.638671875,26077.19921875,26004.880859375,26007.234375,26007.234375,44562970
2023-08-27,26006.087890625,26159.904296875,25994.25,26097.96484375,26097.96484375,56203172
2023-08-28,26098.28125,26176.009765625,25903.884765625,26098.50390625,26098.50390625,105373839
2023-08-29,26098.591796875,27961.166015625,25944.97265625,27697.50390625,27697.50390625,222983914
2023-08-30,27698.20703125,27706.357421875,27135.818359375,27276.396484375,27276.396484375,113468867
2023-08-31,27276.55078125,27421.7421875,25869.62109375,25995.798828125,25995.798828125,109108002
2023-09-01,25995.990234375,26077.9296875,25444.822265625,25809.736328125,25809.736328125,115998300
2023-09-02,25810.130859375,25933.447265625,25785.3125,25869.021484375,25869.021484375,65903964
2023-09-03,25871.01953125,26032.626953125,25848.22265625,25968.87109375,25968.87109375,67625197
